id,scrape_id,last_scraped,source,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_location,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
744288,20241214212418,2024-12-15,city scrape,"QUITE, SUNNY AND CENTRAL LOCATION",3899602,Andrés,2012-10-17,"Palma de Mallorca, Spain",N/A,N/A,0%,f,1,1,"['email', 'phone']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.58763,2.65094,Private room in rental unit,Private room,2,1,1,1,$95.00,t,30,60,90,365,2024-12-15,11,0,0,2015-08-04,2022-06-17,4.64,4.64,4.82,4.73,5,4.73,4.55,f,1
744388,20241214212418,2024-12-15,city scrape,Confortable habitacion individual,3901248,Vivian,2012-10-17,"Palma, Spain",within an hour,100%,0%,f,1,2,"['email', 'phone']",t,t,"Palma, Illes Balears, Spain",Palma de Mallorca,,39.57541,2.64556,Private room in rental unit,Private room,2,1,1,1,$65.00,t,28,58,88,363,2024-12-15,4,0,0,2016-08-05,2017-08-25,4.75,4.75,4.75,4.25,4.25,4.75,4.5,f,1
763446,20241214212418,2024-12-15,city scrape,Large double room in quiet village location,2251209,Lynn,2012-04-29,"Palma de Mallorca, Spain",within an hour,100%,98%,f,1,2,"['email', 'phone']",t,t,"Campanet, Balearic Islands, Spain",Campanet,,39.77538,2.96864,Private room in rental unit,Private room,2,1.5,1,1,$50.00,t,0,0,0,10,2024-12-15,297,32,0,2013-09-13,2024-10-21,4.57,4.72,4.44,4.86,4.88,4.62,4.65,t,1
765176,20241214212418,2024-12-15,city scrape,Apartamento con magnificas vistas al mar.b,2954364,Josep,2012-07-16,"Alcúdia, Spain",within an hour,100%,100%,t,9,18,"['email', 'phone']",t,t,,Alcúdia,,39.81661,3.1165,Entire rental unit,Entire home/apt,4,2,2,2,$114.00,t,1,17,34,145,2024-12-15,159,23,2,2013-09-02,2024-11-29,4.92,4.95,4.87,4.98,4.97,4.97,4.82,t,9
982174,20241214212418,2024-12-15,city scrape,MALLORCA-S'ILLOT apartamento luminoso 1ª línea mar,5344600,Bartomeu,2013-03-06,"S'Illot-Cala Morlanda, Spain",a few days or more,0%,0%,f,1,8,"['email', 'phone']",t,t,"S'Illot-Cala Morlanda, Balearic Islands, Spain",Manacor,,39.56089,3.37291,Entire rental unit,Entire home/apt,4,1,2,3,$100.00,t,30,60,90,322,2024-12-15,24,0,0,2017-10-08,2022-11-17,4.83,4.88,4.75,4.88,4.88,4.88,4.71,f,1
986300,20241214212418,2024-12-15,city scrape,"Family house in Sa Rapita, Campos near beach Trenc",5412348,Rosa,2013-03-11,"Balearic Islands, Spain",N/A,N/A,100%,f,1,1,"['email', 'phone']",t,t,"Campos Sa Ràpita, Balearic Islands, Spain",Campos,,39.36246,2.94787,Entire home,Entire home/apt,6,2,3,5,$170.00,t,0,0,0,78,2024-12-15,19,2,0,2013-09-25,2024-06-05,4.95,5,4.84,5,4.95,4.79,4.79,f,1
986832,20241214212418,2024-12-15,city scrape,Charming townhouse in Pollença,2250502,Yosune,2012-04-29,"Pollença, Spain",within a day,100%,68%,f,13,61,"['email', 'phone']",t,t,,Pollença,,39.87557,3.01366,Entire townhouse,Entire home/apt,4,1.5,2,1,$109.00,t,21,51,81,264,2024-12-15,59,10,0,2013-04-08,2024-09-28,4.39,4.71,4.61,4.87,4.61,4.79,4.41,t,12
986986,20241214212418,2024-12-15,city scrape,House rural with pool and wifi,5386823,Toni Y Maria,2013-03-09,"Porreres, Spain",within an hour,100%,95%,t,1,1,"['email', 'phone']",t,t,,Porreres,,39.52871,3.04157,Entire home,Entire home/apt,6,3,3,4,$210.00,t,0,0,0,30,2024-12-15,87,13,0,2013-06-29,2024-10-19,4.99,4.94,4.95,4.98,4.98,4.84,4.93,f,1
988589,20241214212418,2024-12-15,city scrape,Moderno chalet con piscina privada,5426994,Mercedes,2013-03-12,"Balearic Islands, Spain",within an hour,100%,90%,f,1,1,"['email', 'phone']",t,t,,Llucmajor,,39.44962,2.75306,Entire home,Entire home/apt,6,3,3,4,$210.00,t,1,31,61,292,2024-12-15,112,15,0,2013-06-02,2024-11-09,4.52,4.66,4.09,4.8,4.84,4.54,4.36,f,1
988596,20241214212418,2024-12-15,city scrape,"Son Mas, private pool, wifi free",5427067,Toni,2013-03-12,"Campos, Spain",within a few hours,100%,100%,t,14,15,"['email', 'phone']",t,t,"Campos, Balearic Islands, Spain",Campos,,39.43861,3.03992,Entire villa,Entire home/apt,6,2,3,4,$156.00,t,28,58,88,268,2024-12-15,11,0,0,2019-05-10,2023-10-28,4.82,4.82,4.73,4.91,5,4.55,4.73,t,14
